HUGO Symbol	Type	Chromosome	Significance	Freq	% Markers Altered
MBD6	Amp	12	9.6982e-006	0.17079	1
MDM2	Amp	12	0.0056764	0.15056	1
METTL1	Amp	12	2.6087e-013	0.21798	1
OS9	Amp	12	5.4402e-012	0.20899	1
PIP4K2C	Amp	12	2.4083e-005	0.17079	1
PLEKHA5	Amp	12	0.22247	0.13034	0.27586
SLC26A10	Amp	12	1.7188e-006	0.17753	1
SLC2A14	Amp	12	0.12396	0.13034	0.42857
SLC2A3	Amp	12	0.12396	0.13483	1
SLC35E3	Amp	12	0.17322	0.13034	0.5
TSFM	Amp	12	4.3786e-012	0.21124	1
TSPAN31	Amp	12	2.0003e-015	0.23371	1
XRCC6BP1	Amp	12	4.1892e-007	0.17978	1
HEATR4	Amp	14	3.4039e-006	0.16629	0.23077
HERC2P3	Amp	15	3.4903e-014	0.21798	1
POTEB	Amp	15	2.6087e-013	0.21798	1
SCAPER	Amp	15	0.06475	0.13933	0.046875
KIAA1267	Amp	17	0.22247	0.13034	0.0625
NOTUM	Amp	17	3.4903e-014	0.22022	1
THOC4	Amp	17	0.03084	0.14382	1
A1BG	Amp	19	2.0003e-015	0.31685	1
SHC2	Amp	19	2.0003e-015	0.46067	1
MEGF8	Amp	19	2.0003e-015	0.31685	1
ZNF432	Amp	19	2.0003e-015	0.28539	1
HAUS5	Amp	19	2.0003e-015	0.35506	1
MAU2	Amp	19	2.0003e-015	0.43371	1
UNC13A	Amp	19	2.0003e-015	0.42472	1
PRR12	Amp	19	2.0003e-015	0.28764	1
ZNF492	Amp	19	2.0003e-015	0.40674	1
LMTK3	Amp	19	2.0003e-015	0.28764	1
ABCA7	Amp	19	2.0003e-015	0.45843	1
ABHD8	Amp	19	2.0003e-015	0.42472	1
EPHX3	Amp	19	2.0003e-015	0.42921	1
ACP5	Amp	19	2.0003e-015	0.44494	1
ACPT	Amp	19	2.0003e-015	0.28989	1
ACSBG2	Amp	19	2.0003e-015	0.42247	1
ACTN4	Amp	19	2.0003e-015	0.35281	1
ADAMTS10	Amp	19	2.0003e-015	0.43371	1
ADAMTSL5	Amp	19	2.0003e-015	0.45843	1
AES	Amp	19	2.0003e-015	0.44045	1
F2RL3	Amp	19	2.0003e-015	0.42022	1
ZNF256	Amp	19	2.0003e-015	0.3191	1
CD177	Amp	19	2.0003e-015	0.31011	1
ZNF302	Amp	19	2.0003e-015	0.35506	1
C19orf77	Amp	19	2.0003e-015	0.44045	1
KIR3DL3	Amp	19	2.0003e-015	0.46067	1
CEACAM21	Amp	19	2.0003e-015	0.31685	1
PODNL1	Amp	19	2.0003e-015	0.42697	1
ZNF527	Amp	19	2.0003e-015	0.36404	1
SCGBL	Amp	19	2.0003e-015	0.35506	1
ZNF440	Amp	19	2.0003e-015	0.4427	1
ZNF557	Amp	19	2.0003e-015	0.42697	1
ZNF709	Amp	19	2.0003e-015	0.43371	1
ZNF846	Amp	19	2.0003e-015	0.44045	1
ZNF283	Amp	19	2.0003e-015	0.31011	1
ZNF780B	Amp	19	2.0003e-015	0.33258	1
TMEM205	Amp	19	2.0003e-015	0.44944	1
WDR87	Amp	19	2.0003e-015	0.36404	1
WTIP	Amp	19	2.0003e-015	0.35506	1
ZNF841	Amp	19	2.0003e-015	0.28539	1
ZNF730	Amp	19	2.0003e-015	0.40674	1
TSSK6	Amp	19	2.0003e-015	0.43146	1
AKAP8	Amp	19	2.0003e-015	0.42921	1
AKAP8L	Amp	19	2.0003e-015	0.42921	1
AKT1S1	Amp	19	2.0003e-015	0.28764	1
AKT2	Amp	19	2.0003e-015	0.33258	1
ZNF844	Amp	19	2.0003e-015	0.43596	1
ALDH16A1	Amp	19	2.0003e-015	0.29213	1
ALKBH6	Amp	19	2.0003e-015	0.35955	1
ALKBH7	Amp	19	2.0003e-015	0.41573	1
ANGPTL4	Amp	19	2.0003e-015	0.43146	1
KANK2	Amp	19	2.0003e-015	0.44944	1
ANKRD27	Amp	19	2.0003e-015	0.35506	1
ANKLE1	Amp	19	2.0003e-015	0.42472	1
KANK3	Amp	19	2.0003e-015	0.43371	1
AP1M1	Amp	19	2.0003e-015	0.42472	1
AP1M2	Amp	19	2.0003e-015	0.44944	1
AP2A1	Amp	19	2.0003e-015	0.28764	1
AP2S1	Amp	19	2.0003e-015	0.28315	1
AP3D1	Amp	19	2.0003e-015	0.45843	1
APBA3	Amp	19	2.0003e-015	0.43146	1
APC2	Amp	19	2.0003e-015	0.45843	1
APLP1	Amp	19	2.0003e-015	0.3573	1
APOC2	Amp	19	2.0003e-015	0.31011	1
APOC4	Amp	19	2.0003e-015	0.31011	1
APOE	Amp	19	2.0003e-015	0.31011	1
ARHGEF1	Amp	19	2.0003e-015	0.3191	1
ARHGEF18	Amp	19	2.0003e-015	0.42022	1
ARID3A	Amp	19	2.0003e-015	0.45843	1
ARMC6	Amp	19	2.0003e-015	0.42472	1
ARRDC2	Amp	19	2.0003e-015	0.42472	1
ACER1	Amp	19	2.0003e-015	0.41573	1
ASF1B	Amp	19	2.0003e-015	0.42697	1
ASNA1	Amp	19	2.0003e-015	0.42921	1
ATCAY	Amp	19	2.0003e-015	0.43146	1
ATF5	Amp	19	2.0003e-015	0.28989	1
ATG4D	Amp	19	2.0003e-015	0.44944	1
ATP13A1	Amp	19	2.0003e-015	0.42697	1
ATP1A3	Amp	19	2.0003e-015	0.31685	1
ATP4A	Amp	19	2.0003e-015	0.3573	1
ATP5D	Amp	19	2.0003e-015	0.46067	1
ATP8B3	Amp	19	2.0003e-015	0.45843	1
CTU1	Amp	19	2.0003e-015	0.28764	1
AURKC	Amp	19	2.0003e-015	0.31461	1
AXL	Amp	19	2.0003e-015	0.3191	1
ALDH16A1	Amp	19	2.0003e-015	0.29213	1
AZU1	Amp	19	2.0003e-015	0.46292	1
B3GNT3	Amp	19	2.0003e-015	0.42697	1
BAX	Amp	19	2.0003e-015	0.28989	1
BBC3	Amp	19	2.0003e-015	0.28539	1
ZNF765	Amp	19	2.0003e-015	0.29888	1
TMEM150B	Amp	19	2.0003e-015	0.29663	1
ZNF99	Amp	19	2.0003e-015	0.40449	1
SIGLEC16	Amp	19	2.0003e-015	0.28539	1
LRRC4B	Amp	19	2.0003e-015	0.29663	1
LRRC68	Amp	19	2.0003e-015	0.31011	1
KCNJ14	Amp	19	2.0003e-015	0.28764	1
TRAPPC5	Amp	19	2.0003e-015	0.42921	1
ZNF835	Amp	19	2.0003e-015	0.31461	1
BCAM	Amp	19	2.0003e-015	0.31461	1
BCAT2	Amp	19	2.0003e-015	0.28764	1
BCKDHA	Amp	19	2.0003e-015	0.31461	1
BCL2L12	Amp	19	2.0003e-015	0.28764	1
BCL3	Amp	19	2.0003e-015	0.31685	1
FAM129C	Amp	19	2.0003e-015	0.42472	1
BIRC8	Amp	19	2.0003e-015	0.29663	1
BLVRB	Amp	19	2.0003e-015	0.32809	1
MAP1S	Amp	19	2.0003e-015	0.42472	1
BRD4	Amp	19	2.0003e-015	0.42921	1
BRSK1	Amp	19	2.0003e-015	0.29438	1
CELF5	Amp	19	2.0003e-015	0.44045	1
BSG	Amp	19	2.0003e-015	0.46067	1
BST2	Amp	19	2.0003e-015	0.42472	1
NACC1	Amp	19	2.0003e-015	0.42921	1
BTBD2	Amp	19	2.0003e-015	0.45843	1
C19orf10	Amp	19	2.0003e-015	0.43596	1
C19orf12	Amp	19	2.0003e-015	0.35955	1
CATSPERG	Amp	19	2.0003e-015	0.3573	1
C19orf18	Amp	19	2.0003e-015	0.3191	1
ODF3L2	Amp	19	2.0003e-015	0.46067	1
C19orf2	Amp	19	2.0003e-015	0.3573	1
C19orf20	Amp	19	2.0003e-015	0.46067	1
C19orf21	Amp	19	2.0003e-015	0.46292	1
C19orf22	Amp	19	2.0003e-015	0.45843	1
C19orf23	Amp	19	2.0003e-015	0.45843	1
C19orf24	Amp	19	2.0003e-015	0.45843	1
C19orf25	Amp	19	2.0003e-015	0.45843	1
C19orf26	Amp	19	2.0003e-015	0.46067	1
C19orf28	Amp	19	2.0003e-015	0.43371	1
NCRNA00306	Amp	19	2.0003e-015	0.43596	1
C19orf34	Amp	19	2.0003e-015	0.45843	1
C19orf35	Amp	19	2.0003e-015	0.46067	1
ZNF428	Amp	19	2.0003e-015	0.31685	1
C19orf39	Amp	19	2.0003e-015	0.44944	1
TMEM59L	Amp	19	2.0003e-015	0.42697	1
C19orf40	Amp	19	2.0003e-015	0.35506	1
IZUMO2	Amp	19	2.0003e-015	0.28989	1
C19orf42	Amp	19	2.0003e-015	0.42697	1
C19orf43	Amp	19	2.0003e-015	0.43146	1
C19orf6	Amp	19	2.0003e-015	0.45843	1
C3	Amp	19	2.0003e-015	0.41798	1
C5AR1	Amp	19	2.0003e-015	0.28764	1
CA11	Amp	19	2.0003e-015	0.28989	1
CABP5	Amp	19	2.0003e-015	0.29663	1
CACNA1A	Amp	19	2.0003e-015	0.42697	1
CACNG6	Amp	19	2.0003e-015	0.29888	1
CACNG7	Amp	19	2.0003e-015	0.29663	1
CACNG8	Amp	19	2.0003e-015	0.29663	1
CALM3	Amp	19	2.0003e-015	0.28989	1
CALR	Amp	19	2.0003e-015	0.42921	1
CALR3	Amp	19	2.0003e-015	0.42472	1
CAPN12	Amp	19	2.0003e-015	0.35281	1
CAPNS1	Amp	19	2.0003e-015	0.35955	1
CAPS	Amp	19	2.0003e-015	0.42247	1
CARD8	Amp	19	2.0003e-015	0.29213	1
CARM1	Amp	19	2.0003e-015	0.44944	1
CASP14	Amp	19	2.0003e-015	0.42697	1
CBLC	Amp	19	2.0003e-015	0.31685	1
CC2D1A	Amp	19	2.0003e-015	0.42921	1
CCDC105	Amp	19	2.0003e-015	0.42697	1
CCDC106	Amp	19	2.0003e-015	0.30562	1
CCDC8	Amp	19	2.0003e-015	0.29438	1
CCDC9	Amp	19	2.0003e-015	0.28764	1
CCDC94	Amp	19	2.0003e-015	0.43596	1
CCDC97	Amp	19	2.0003e-015	0.31461	1
CCL25	Amp	19	2.0003e-015	0.43371	1
CCNE1	Amp	19	2.0003e-015	0.3618	1
CD209	Amp	19	2.0003e-015	0.42921	1
CD22	Amp	19	2.0003e-015	0.35506	1
CD320	Amp	19	2.0003e-015	0.43371	1
CD33	Amp	19	2.0003e-015	0.28315	1
CD37	Amp	19	2.0003e-015	0.28989	1
CD3EAP	Amp	19	2.0003e-015	0.30787	1
CD79A	Amp	19	2.0003e-015	0.32135	1
CD97	Amp	19	2.0003e-015	0.42697	1
CDC34	Amp	19	2.0003e-015	0.46067	1
CDC37	Amp	19	2.0003e-015	0.44944	1
CDC42EP5	Amp	19	2.0003e-015	0.29438	1
CDKN2D	Amp	19	2.0003e-015	0.44944	1
CEACAM1	Amp	19	2.0003e-015	0.31461	1
CEACAM16	Amp	19	2.0003e-015	0.3191	1
CEACAM19	Amp	19	2.0003e-015	0.3191	1
CEACAM20	Amp	19	2.0003e-015	0.31236	1
CEACAM21	Amp	19	2.0003e-015	0.31685	1
CEACAM3	Amp	19	2.0003e-015	0.3191	1
CEACAM4	Amp	19	2.0003e-015	0.31685	1
CEACAM5	Amp	19	2.0003e-015	0.31685	1
CEACAM6	Amp	19	2.0003e-015	0.31685	1
CEACAM7	Amp	19	2.0003e-015	0.31461	1
CEACAM8	Amp	19	2.0003e-015	0.31461	1
CEBPA	Amp	19	2.0003e-015	0.3573	1
CEBPG	Amp	19	2.0003e-015	0.3573	1
CFD	Amp	19	2.0003e-015	0.45843	1
CHAF1A	Amp	19	2.0003e-015	0.43146	1
CHERP	Amp	19	2.0003e-015	0.42472	1
CHMP2A	Amp	19	2.0003e-015	0.31461	1
CHST8	Amp	19	2.0003e-015	0.35281	1
CIB3	Amp	19	2.0003e-015	0.42472	1
CIC	Amp	19	2.0003e-015	0.3191	1
CILP2	Amp	19	2.0003e-015	0.42921	1
CIRBP	Amp	19	2.0003e-015	0.44944	1
TBCB	Amp	19	2.0003e-015	0.35955	1
CKM	Amp	19	2.0003e-015	0.30787	1
CLC	Amp	19	2.0003e-015	0.33708	1
CLDND2	Amp	19	2.0003e-015	0.28989	1
CLEC11A	Amp	19	2.0003e-015	0.28989	1
CLEC4M	Amp	19	2.0003e-015	0.42921	1
CLIP3	Amp	19	2.0003e-015	0.35955	1
CLPP	Amp	19	2.0003e-015	0.41573	1
CLPTM1	Amp	19	2.0003e-015	0.31011	1
CNFN	Amp	19	2.0003e-015	0.31236	1
CNN1	Amp	19	2.0003e-015	0.4427	1
CNN2	Amp	19	2.0003e-015	0.45843	1
CNOT3	Amp	19	2.0003e-015	0.29663	1
CNTD2	Amp	19	2.0003e-015	0.33483	1
COL5A3	Amp	19	2.0003e-015	0.44719	1
COMP	Amp	19	2.0003e-015	0.42697	1
COPE	Amp	19	2.0003e-015	0.42472	1
COX6B1	Amp	19	2.0003e-015	0.35506	1
COX6B2	Amp	19	2.0003e-015	0.29663	1
COX7A1	Amp	19	2.0003e-015	0.35955	1
CPAMD8	Amp	19	2.0003e-015	0.42472	1
CPT1C	Amp	19	2.0003e-015	0.28764	1
CRB3	Amp	19	2.0003e-015	0.41348	1
CREB3L3	Amp	19	2.0003e-015	0.43371	1
EID2	Amp	19	2.0003e-015	0.34382	1
CRLF1	Amp	19	2.0003e-015	0.42697	1
MED26	Amp	19	2.0003e-015	0.42697	1
CRTC1	Amp	19	2.0003e-015	0.42697	1
CRX	Amp	19	2.0003e-015	0.29213	1
CSNK1G2	Amp	19	2.0003e-015	0.45843	1
NCAN	Amp	19	2.0003e-015	0.42921	1
CYP2A13	Amp	19	2.0003e-015	0.3191	1
CYP2B6	Amp	19	2.0003e-015	0.32135	1
CYP2F1	Amp	19	2.0003e-015	0.3191	1
CYP2S1	Amp	19	2.0003e-015	0.3191	1
CYP4F11	Amp	19	2.0003e-015	0.42921	1
CYP4F12	Amp	19	2.0003e-015	0.42921	1
CYP4F2	Amp	19	2.0003e-015	0.43146	1
CYP4F3	Amp	19	2.0003e-015	0.42921	1
CYP4F8	Amp	19	2.0003e-015	0.42697	1
DHX34	Amp	19	2.0003e-015	0.29213	1
DAND5	Amp	19	2.0003e-015	0.42921	1
DAPK3	Amp	19	2.0003e-015	0.43146	1
DAZAP1	Amp	19	2.0003e-015	0.45843	1
DBP	Amp	19	2.0003e-015	0.28989	1
DDA1	Amp	19	2.0003e-015	0.42472	1
DDX39A	Amp	19	2.0003e-015	0.42921	1
DDX49	Amp	19	2.0003e-015	0.42472	1
DEDD2	Amp	19	2.0003e-015	0.31685	1
DENND1C	Amp	19	2.0003e-015	0.41348	1
DHDH	Amp	19	2.0003e-015	0.28989	1
DHPS	Amp	19	2.0003e-015	0.43146	1
HSD17B14	Amp	19	2.0003e-015	0.28764	1
DHX34	Amp	19	2.0003e-015	0.28989	1
DIRAS1	Amp	19	2.0003e-015	0.44944	1
ZNF772	Amp	19	2.0003e-015	0.31685	1
ZNF829	Amp	19	2.0003e-015	0.35955	1
DKKL1	Amp	19	2.0003e-015	0.28989	1
DLL3	Amp	19	2.0003e-015	0.34157	1
DMPK	Amp	19	2.0003e-015	0.30337	1
DMRTC2	Amp	19	2.0003e-015	0.32135	1
DMWD	Amp	19	2.0003e-015	0.30337	1
DNAJB1	Amp	19	2.0003e-015	0.42472	1
DNASE2	Amp	19	2.0003e-015	0.42921	1
DNM2	Amp	19	2.0003e-015	0.45169	1
DNMT1	Amp	19	2.0003e-015	0.44944	1
DOCK6	Amp	19	2.0003e-015	0.44944	1
DOT1L	Amp	19	2.0003e-015	0.45843	1
DPF1	Amp	19	2.0003e-015	0.3618	1
DPP9	Amp	19	2.0003e-015	0.43596	1
DPRX	Amp	19	2.0003e-015	0.29663	1
DPY19L3	Amp	19	2.0003e-015	0.35506	1
DUS3L	Amp	19	2.0003e-015	0.42472	1
DUXA	Amp	19	2.0003e-015	0.31685	1
DYRK1B	Amp	19	2.0003e-015	0.33708	1
EBI3	Amp	19	2.0003e-015	0.43596	1
ECH1	Amp	19	2.0003e-015	0.35281	1
LPAR2	Amp	19	2.0003e-015	0.42697	1
S1PR2	Amp	19	2.0003e-015	0.44944	1
S1PR5	Amp	19	2.0003e-015	0.44944	1
EEF2	Amp	19	2.0003e-015	0.43146	1
EFNA2	Amp	19	2.0003e-015	0.45618	1
EHD2	Amp	19	2.0003e-015	0.29438	1
EID2B	Amp	19	2.0003e-015	0.34382	1
EIF3K	Amp	19	2.0003e-015	0.35281	1
EIF3G	Amp	19	2.0003e-015	0.44719	1
ELANE	Amp	19	2.0003e-015	0.45843	1
ELAVL1	Amp	19	2.0003e-015	0.43371	1
ELAVL3	Amp	19	2.0003e-015	0.44944	1
ELL	Amp	19	2.0003e-015	0.42697	1
ELOF1	Amp	19	2.0003e-015	0.44494	1
ELSPBP1	Amp	19	2.0003e-015	0.29663	1
EML2	Amp	19	2.0003e-015	0.30787	1
EMP3	Amp	19	2.0003e-015	0.29213	1
EMR1	Amp	19	2.0003e-015	0.41798	1
EMR2	Amp	19	2.0003e-015	0.42697	1
EMR3	Amp	19	2.0003e-015	0.42921	1
EPN1	Amp	19	2.0003e-015	0.30562	1
EPOR	Amp	19	2.0003e-015	0.44944	1
EPS15L1	Amp	19	2.0003e-015	0.42472	1
EPS8L1	Amp	19	2.0003e-015	0.29438	1
ERCC1	Amp	19	2.0003e-015	0.31011	1
ERCC2	Amp	19	2.0003e-015	0.30787	1
ERF	Amp	19	2.0003e-015	0.3191	1
ETFB	Amp	19	2.0003e-015	0.28989	1
ETHE1	Amp	19	2.0003e-015	0.32135	1
EVI5L	Amp	19	2.0003e-015	0.42921	1
EXOSC5	Amp	19	2.0003e-015	0.31461	1
LIN37	Amp	19	2.0003e-015	0.3573	1
FAM108A1	Amp	19	2.0003e-015	0.45843	1
FAM32A	Amp	19	2.0003e-015	0.42472	1
FAM83E	Amp	19	2.0003e-015	0.28764	1
FAM98C	Amp	19	2.0003e-015	0.35955	1
FARSA	Amp	19	2.0003e-015	0.42921	1
FBL	Amp	19	2.0003e-015	0.33708	1
FBN3	Amp	19	2.0003e-015	0.43371	1
FBXL12	Amp	19	2.0003e-015	0.4427	1
FBXO17	Amp	19	2.0003e-015	0.35281	1
FBXO27	Amp	19	2.0003e-015	0.35506	1
FBXW9	Amp	19	2.0003e-015	0.43146	1
FCAR	Amp	19	2.0003e-015	0.29213	1
FCER2	Amp	19	2.0003e-015	0.42921	1
FCGBP	Amp	19	2.0003e-015	0.33258	1
FCGRT	Amp	19	2.0003e-015	0.28989	1
FCHO1	Amp	19	2.0003e-015	0.42472	1
FFAR2	Amp	19	2.0003e-015	0.35506	1
FGF21	Amp	19	2.0003e-015	0.28989	1
FKBP8	Amp	19	2.0003e-015	0.42697	1
FKRP	Amp	19	2.0003e-015	0.28315	1
MPV17L2	Amp	19	2.0003e-015	0.42247	1
ATP5SL	Amp	19	2.0003e-015	0.31461	1
PNMAL1	Amp	19	2.0003e-015	0.29663	1
C19orf66	Amp	19	2.0003e-015	0.44719	1
C19orf61	Amp	19	2.0003e-015	0.31685	1
KRI1	Amp	19	2.0003e-015	0.44944	1
CEP89	Amp	19	2.0003e-015	0.35281	1
FIZ1	Amp	19	2.0003e-015	0.30562	1
MPND	Amp	19	2.0003e-015	0.43596	1
ZNF761	Amp	19	2.0003e-015	0.29888	1
ZNF813	Amp	19	2.0003e-015	0.30112	1
TMEM161A	Amp	19	2.0003e-015	0.42697	1
TMEM160	Amp	19	2.0003e-015	0.28315	1
C19orf60	Amp	19	2.0003e-015	0.42697	1
C19orf44	Amp	19	2.0003e-015	0.42472	1
FUZ	Amp	19	2.0003e-015	0.28764	1
OCEL1	Amp	19	2.0003e-015	0.42472	1
PODNL1	Amp	19	2.0003e-015	0.42697	1
FAM187B	Amp	19	2.0003e-015	0.35281	1
ERVV-1	Amp	19	2.0003e-015	0.29438	1
CCDC155	Amp	19	2.0003e-015	0.28989	1
CCDC114	Amp	19	2.0003e-015	0.29213	1
C19orf45	Amp	19	2.0003e-015	0.42247	1
MAMSTR	Amp	19	2.0003e-015	0.28989	1
C19orf46	Amp	19	2.0003e-015	0.35955	1
C19orf47	Amp	19	2.0003e-015	0.33258	1
ZNF781	Amp	19	2.0003e-015	0.3618	1
ZNF776	Amp	19	2.0003e-015	0.3191	1
ZNF792	Amp	19	2.0003e-015	0.35281	1
CYP4F22	Amp	19	2.0003e-015	0.42697	1
C19orf75	Amp	19	2.0003e-015	0.28315	1
ZNF826P	Amp	19	2.0003e-015	0.41798	1
YJEFN3	Amp	19	2.0003e-015	0.42921	1
ZNF324B	Amp	19	2.0003e-015	0.31461	1
RINL	Amp	19	2.0003e-015	0.35056	1
CLEC17A	Amp	19	2.0003e-015	0.42921	1
ZNF818P	Amp	19	2.0003e-015	0.29438	1
ZNF791	Amp	19	2.0003e-015	0.43146	1
FLT3LG	Amp	19	2.0003e-015	0.29213	1
FOSB	Amp	19	2.0003e-015	0.30787	1
FOXA3	Amp	19	2.0003e-015	0.31011	1
FPR1	Amp	19	2.0003e-015	0.28539	1
FPR2	Amp	19	2.0003e-015	0.28539	1
FPR3	Amp	19	2.0003e-015	0.28315	1
FSD1	Amp	19	2.0003e-015	0.43596	1
FSTL3	Amp	19	2.0003e-015	0.46067	1
FTL	Amp	19	2.0003e-015	0.28989	1
FUT1	Amp	19	2.0003e-015	0.28989	1
FUT2	Amp	19	2.0003e-015	0.28989	1
FUT3	Amp	19	2.0003e-015	0.42472	1
FUT5	Amp	19	2.0003e-015	0.42472	1
FUT6	Amp	19	2.0003e-015	0.42022	1
FXYD1	Amp	19	2.0003e-015	0.35281	1
FXYD3	Amp	19	2.0003e-015	0.35281	1
FXYD5	Amp	19	2.0003e-015	0.35281	1
FXYD7	Amp	19	2.0003e-015	0.35281	1
FZR1	Amp	19	2.0003e-015	0.43371	1
GADD45B	Amp	19	2.0003e-015	0.46067	1
GADD45GIP1	Amp	19	2.0003e-015	0.42921	1
GALP	Amp	19	2.0003e-015	0.31685	1
GAMT	Amp	19	2.0003e-015	0.45843	1
GAPDHS	Amp	19	2.0003e-015	0.35506	1
GATAD2A	Amp	19	2.0003e-015	0.43146	1
GCDH	Amp	19	2.0003e-015	0.42921	1
GDF1	Amp	19	2.0003e-015	0.42697	1
GDF15	Amp	19	2.0003e-015	0.42472	1
GEMIN7	Amp	19	2.0003e-015	0.31011	1
GIPC1	Amp	19	2.0003e-015	0.42472	1
GIPC3	Amp	19	2.0003e-015	0.43146	1
GIPR	Amp	19	2.0003e-015	0.30562	1
GLT25D1	Amp	19	2.0003e-015	0.42472	1
GLTSCR1	Amp	19	2.0003e-015	0.29663	1
GLTSCR2	Amp	19	2.0003e-015	0.28764	1
GMFG	Amp	19	2.0003e-015	0.34382	1
GMIP	Amp	19	2.0003e-015	0.42697	1
GNA11	Amp	19	2.0003e-015	0.44045	1
GNA15	Amp	19	2.0003e-015	0.44045	1
GNG7	Amp	19	2.0003e-015	0.45169	1
GP6	Amp	19	2.0003e-015	0.29438	1
GPATCH1	Amp	19	2.0003e-015	0.35056	1
GPI	Amp	19	2.0003e-015	0.3573	1
GPR32	Amp	19	2.0003e-015	0.28989	1
GPR4	Amp	19	2.0003e-015	0.30787	1
GPR77	Amp	19	2.0003e-015	0.28989	1
TECR	Amp	19	2.0003e-015	0.42921	1
GPX4	Amp	19	2.0003e-015	0.45843	1
GRAMD1A	Amp	19	2.0003e-015	0.35281	1
GRIK5	Amp	19	2.0003e-015	0.31685	1
GRIN2D	Amp	19	2.0003e-015	0.28989	1
GRIN3B	Amp	19	2.0003e-015	0.45843	1
GRLF1	Amp	19	2.0003e-015	0.27865	1
GRWD1	Amp	19	2.0003e-015	0.28764	1
GSK3A	Amp	19	2.0003e-015	0.3191	1
GTF2F1	Amp	19	2.0003e-015	0.41124	1
GTPBP3	Amp	19	2.0003e-015	0.42472	1
GYS1	Amp	19	2.0003e-015	0.28989	1
GZMM	Amp	19	2.0003e-015	0.45843	1
HMHA1	Amp	19	2.0003e-015	0.45843	1
HAMP	Amp	19	2.0003e-015	0.35506	1
HAPLN4	Amp	19	2.0003e-015	0.43371	1
HAS1	Amp	19	2.0003e-015	0.28539	1
HCN2	Amp	19	2.0003e-015	0.46067	1
HCST	Amp	19	2.0003e-015	0.3573	1
HIF3A	Amp	19	2.0003e-015	0.29438	1
HIPK4	Amp	19	2.0003e-015	0.33258	1
HKR1	Amp	19	2.0003e-015	0.36404	1
ZSCAN22	Amp	19	2.0003e-015	0.31685	1
DOHH	Amp	19	2.0003e-015	0.44045	1
HMG20B	Amp	19	2.0003e-015	0.43146	1
HNRNPL	Amp	19	2.0003e-015	0.35056	1
HNRNPM	Amp	19	2.0003e-015	0.43146	1
HNRNPUL1	Amp	19	2.0003e-015	0.31685	1
HOMER3	Amp	19	2.0003e-015	0.42472	1
HOOK2	Amp	19	2.0003e-015	0.43371	1
HPN	Amp	19	2.0003e-015	0.35281	1
HRC	Amp	19	2.0003e-015	0.28989	1
HSD11B1L	Amp	19	2.0003e-015	0.42697	1
HSH2D	Amp	19	2.0003e-015	0.42472	1
HSPB6	Amp	19	2.0003e-015	0.3573	1
HSPBP1	Amp	19	2.0003e-015	0.29438	1
C19orf53	Amp	19	2.0003e-015	0.43146	1
BABAM1	Amp	19	2.0003e-015	0.42472	1
ICAM1	Amp	19	2.0003e-015	0.44944	1
ICAM3	Amp	19	2.0003e-015	0.45169	1
ICAM4	Amp	19	2.0003e-015	0.44944	1
ICAM5	Amp	19	2.0003e-015	0.44944	1
IER2	Amp	19	2.0003e-015	0.42921	1
IFI30	Amp	19	2.0003e-015	0.42247	1
IGFL2	Amp	19	2.0003e-015	0.29663	1
IGFL3	Amp	19	2.0003e-015	0.29888	1
CADM4	Amp	19	2.0003e-015	0.31685	1
IL11	Amp	19	2.0003e-015	0.29663	1
IL12RB1	Amp	19	2.0003e-015	0.42247	1
IL27RA	Amp	19	2.0003e-015	0.42697	1
IL29	Amp	19	2.0003e-015	0.34382	1
IL4I1	Amp	19	2.0003e-015	0.28989	1
ILF3	Amp	19	2.0003e-015	0.44944	1
ILVBL	Amp	19	2.0003e-015	0.42697	1
INSL3	Amp	19	2.0003e-015	0.42697	1
INSR	Amp	19	2.0003e-015	0.42472	1
IRF2BP1	Amp	19	2.0003e-015	0.31236	1
IRF3	Amp	19	2.0003e-015	0.28764	1
IRGC	Amp	19	2.0003e-015	0.31685	1
IRGQ	Amp	19	2.0003e-015	0.31685	1
ISOC2	Amp	19	2.0003e-015	0.29663	1
ITGB1BP3	Amp	19	2.0003e-015	0.43146	1
MED29	Amp	19	2.0003e-015	0.34157	1
IZUMO1	Amp	19	2.0003e-015	0.28989	1
CGB	Amp	19	2.0003e-015	0.28989	1
IFI30	Amp	19	2.0003e-015	0.42247	1
RYR1	Amp	19	2.0003e-015	0.3573	1
JAK3	Amp	19	2.0003e-015	0.42697	1
KDM4B	Amp	19	2.0003e-015	0.43371	1
JOSD2	Amp	19	2.0003e-015	0.29663	1
JSRP1	Amp	19	2.0003e-015	0.45843	1
JUNB	Amp	19	2.0003e-015	0.42472	1
JUND	Amp	19	2.0003e-015	0.42472	1
KCNA7	Amp	19	2.0003e-015	0.28989	1
KCNC3	Amp	19	2.0003e-015	0.29663	1
KCNJ14	Amp	19	2.0003e-015	0.28764	1
KCNK6	Amp	19	2.0003e-015	0.3573	1
KCNN1	Amp	19	2.0003e-015	0.42697	1
KCNN4	Amp	19	2.0003e-015	0.31461	1
KCTD15	Amp	19	2.0003e-015	0.35281	1
KDELR1	Amp	19	2.0003e-015	0.28989	1
KEAP1	Amp	19	2.0003e-015	0.44719	1
KHSRP	Amp	19	2.0003e-015	0.41348	1
KIAA0355	Amp	19	2.0003e-015	0.3573	1
MAU2	Amp	19	2.0003e-015	0.43371	1
SBNO2	Amp	19	2.0003e-015	0.45169	1
